Hotel_name,area,Source,Total_Reviews,Positive_Count,Neutral_Count,Negative_Count,Positive_Percentage,Neutral_Percentage,Negative_Percentage,Top_Aspect,Top_Risk_Type,Top_Traveller_Suitability,Top_Improvement_Area
Centrestage Petaling Jaya by Perfect Host,petaling jaya,agoda,300,112,119,69,37.33,39.67,23.0,Overall Stay Experience,Low Risk,Business Travellers,No Major Improvement Needed
Courtyard by Marriott Kuala Lumpur South,bukit jalil,agoda,300,240,55,5,80.0,18.33,1.67,Overall Stay Experience,Low Risk,Business Travellers,No Major Improvement Needed
De Luna Hotel Sri Petaling,bukit jalil,agoda,300,116,136,48,38.67,45.33,16.0,Overall Stay Experience,Low Risk,Business Travellers,No Major Improvement Needed
DeFace Platinum Kuala Lumpur,klcc,agoda,300,161,98,41,53.67,32.67,13.67,Overall Stay Experience,Low Risk,Leisure Travellers,No Major Improvement Needed
Master House Centrestage PJ,petaling jaya,agoda,300,78,164,58,26.0,54.67,19.33,Overall Stay Experience,Minor Experience Risk,Business Travellers,No Major Improvement Needed
Sunway Luxury Suites@ Sunway Pyramid,sunway,agoda,300,83,112,105,27.67,37.33,35.0,Room & Comfort,Minor Experience Risk,Leisure Travellers,No Major Improvement Needed
Sunway Pyramid Hotel,sunway,agoda,300,207,76,17,69.0,25.33,5.67,Overall Stay Experience,Low Risk,Leisure Travellers,No Major Improvement Needed
The RuMa Hotel and Residences,klcc,agoda,300,236,58,6,78.67,19.33,2.0,Overall Stay Experience,Low Risk,Leisure Travellers,No Major Improvement Needed
