accuracy,loss,val_accuracy,val_loss,learning_rate
0.3319838047027588,1.0993086099624634,0.4516128897666931,1.0980950593948364,0.0010000000474974513
0.4170040488243103,1.090740442276001,0.35483869910240173,1.0942410230636597,0.0010000000474974513
0.4858299493789673,1.0812057256698608,0.3709677457809448,1.0845634937286377,0.0010000000474974513
0.5101214647293091,1.036376714706421,0.4838709533214569,1.0218271017074585,0.0010000000474974513
0.6153846383094788,0.9072969555854797,0.4677419364452362,1.0318924188613892,0.0010000000474974513
0.6032388806343079,0.8235036134719849,0.4838709533214569,1.0056769847869873,0.0010000000474974513
0.6639676094055176,0.7079082131385803,0.5483871102333069,1.00907301902771,0.0010000000474974513
0.7408906817436218,0.5616893768310547,0.5645161271095276,1.021000623703003,0.0010000000474974513
0.8906882405281067,0.28169193863868713,0.5483871102333069,1.392622947692871,0.0010000000474974513
0.9230769276618958,0.1988116204738617,0.5967742204666138,1.2573379278182983,0.0005000000237487257
0.9554656147956848,0.1697557121515274,0.5161290168762207,1.1760340929031372,0.0005000000237487257
0.9676113128662109,0.11854153871536255,0.6129032373428345,1.15353524684906,0.0005000000237487257
