model_name,model_display_name,class,precision,recall,f1_score,support
logistic_regression,Logistic Regression,negative,0.6415094339622641,0.8095238095238095,0.7157894736842105,42
logistic_regression,Logistic Regression,neutral,0.6206896551724138,0.4285714285714285,0.5070422535211268,42
logistic_regression,Logistic Regression,positive,0.7954545454545454,0.8333333333333334,0.813953488372093,42
bilstm,BiLSTM,negative,0.7333333333333333,0.5238095238095238,0.6111111111111112,42
bilstm,BiLSTM,neutral,0.5245901639344263,0.7619047619047619,0.6213592233009708,42
bilstm,BiLSTM,positive,0.8285714285714286,0.6904761904761905,0.7532467532467533,42
distilbert,DistilBERT,negative,0.7551020408163265,0.8809523809523809,0.8131868131868132,42
distilbert,DistilBERT,neutral,0.7222222222222222,0.6190476190476191,0.6666666666666666,42
distilbert,DistilBERT,positive,0.8292682926829268,0.8095238095238095,0.8192771084337349,42
