model_name,model_display_name,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,train_samples,train_samples_total,internal_train_samples,validation_samples,test_samples,epochs_trained,text_column,label_column,pretrained_model,device,test_loss,best_val_loss
distilbert,DistilBERT,0.7777777777777778,0.7788385598141696,0.7777777777777778,0.7743486651291785,0.7788385598141695,0.7777777777777778,0.7743486651291784,,501.0,400.0,101.0,126,7.0,BERT_Text,Sentiment,distilbert-base-uncased,cuda,0.6313763554134066,0.6426270964122055
logistic_regression,Logistic Regression,0.6904761904761905,0.6858845448630744,0.6904761904761906,0.6789284051924768,0.6858845448630744,0.6904761904761905,0.6789284051924769,501.0,,,,126,,Cleaned_Text,Sentiment,,,,
bilstm,BiLSTM,0.6587301587301587,0.6954983086130627,0.6587301587301587,0.6619056958862785,0.6954983086130627,0.6587301587301587,0.6619056958862783,,501.0,400.0,101.0,126,13.0,Cleaned_Text,Sentiment,,,,
