seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
42,1,1.0901240028350458,0.4008097165991903,1.0666871801499398,0.6129032258064516,0.5519039825422803
42,2,0.9763489179765648,0.6356275303643725,0.908185645457237,0.6290322580645161,0.5906349657415301
42,3,0.7147540773457361,0.7408906882591093,0.7981310275293165,0.6612903225806451,0.6559334845049131
42,4,0.518369759745926,0.8016194331983806,0.7865385586215604,0.6290322580645161,0.6239130434782608
42,5,0.33378397223920475,0.9352226720647774,0.7861911231471647,0.6774193548387096,0.6653310104529616
42,6,0.23108076771743868,0.951417004048583,0.8496629816870536,0.6451612903225806,0.6401515151515151
42,7,0.1602857966835682,0.97165991902834,0.8718610790468031,0.6451612903225806,0.6383855981416957
42,8,0.12588787654995437,0.979757085020243,0.8662725360162796,0.6612903225806451,0.6555555555555556
7,1,1.0902558883674713,0.4008097165991903,1.0685731172561646,0.5967741935483871,0.5770817417876241
7,2,0.9792752975394369,0.6153846153846154,0.8794697773072028,0.6451612903225806,0.6363636363636364
7,3,0.7274873753790914,0.7206477732793523,0.7810741855252173,0.7419354838709677,0.7370600414078675
7,4,0.4875234825167096,0.8623481781376519,0.7217959665483044,0.7580645161290323,0.7490196078431373
7,5,0.33423220182237356,0.9190283400809717,0.7149552472176091,0.7258064516129032,0.724074074074074
7,6,0.20316581087194474,0.9554655870445344,0.732974152411184,0.7419354838709677,0.7373578652648419
7,7,0.13144427616345256,0.9838056680161943,0.7686095372323067,0.7580645161290323,0.7524547803617571
7,8,0.10072049103405795,0.9878542510121457,0.7670178124981542,0.6935483870967742,0.6919644545282662
13,1,1.0982536753179573,0.3643724696356275,1.0710385999371927,0.5161290322580645,0.4662433862433863
13,2,0.9945432659585466,0.6194331983805668,0.9065568485567647,0.6612903225806451,0.6129049954467156
13,3,0.7273439692582196,0.7408906882591093,0.7864724224613558,0.6935483870967742,0.6855302507476421
13,4,0.5240838524059728,0.8299595141700404,0.7597964867468803,0.6612903225806451,0.654882154882155
13,5,0.35798636971697634,0.9230769230769231,0.7466815325521654,0.6451612903225806,0.6361409796893668
13,6,0.2597858516069559,0.9311740890688259,0.7597616891707143,0.6451612903225806,0.6414012245214292
